state_noise,policy,avg_reward,avg_regret_vs_oracle
0.0,Event-Driven TW,9.389613683326692,174.5118351051579
0.0,Oracle Whittle,9.759837163255169,
0.0,State Thompson,8.909368796345749,390.6521738078124
0.0,Thompson-Whittle,8.674022019367639,468.1417301296013
0.0,Trust-Mixed TW,9.366384087804418,189.62360334543328
0.2,Event-Driven TW,8.765225077986726,-115.56446224840855
0.2,Oracle Whittle,8.352409382775017,
0.2,State Thompson,7.570103396567953,289.06928813396627
0.2,Thompson-Whittle,8.040267340447228,238.05885602142445
0.2,Trust-Mixed TW,8.851634069496702,-165.34469857954932
0.4,Event-Driven TW,8.454172827888172,-248.9103767949695
0.4,Oracle Whittle,7.597394371761425,
0.4,State Thompson,7.245209245418145,218.0492624361862
0.4,Thompson-Whittle,7.384401527183071,187.07354236211117
0.4,Trust-Mixed TW,8.368627964989834,-205.68484788457735
