n_jobs_sample,policy,avg_reward,avg_regret_vs_oracle,avg_sim_time_s
20,Event-Driven TW,28.98381642593283,163.80799248448957,8.951
20,Oracle Whittle,29.29002821047133,,0.0227
20,State Thompson,26.88832451933353,868.0484701359536,0.0272
20,Thompson-Whittle,27.40661212118753,828.7020184063566,28.8695
20,Trust-Mixed TW,28.90153126610513,195.74699281820756,28.3634
40,Event-Driven TW,15.227204283923172,441.3406126579184,20.3351
40,Oracle Whittle,16.140410906865913,,0.0235
40,State Thompson,8.308907154237561,2330.2692642215184,0.0288
40,Thompson-Whittle,14.031248992237304,1002.1017831886294,60.7142
40,Trust-Mixed TW,15.267836718585784,416.2951749076693,60.8357
60,Event-Driven TW,15.146361518127991,706.4701090519841,33.8798
60,Oracle Whittle,17.035047114834445,,0.0232
60,State Thompson,7.205437085760641,2948.823698538739,0.0296
60,Thompson-Whittle,14.132502790839949,1271.975601042091,97.5912
60,Trust-Mixed TW,15.15497182548998,752.8287296593167,99.9763
80,Event-Driven TW,14.808321754817182,1043.789292312985,50.8755
80,Oracle Whittle,17.683492209720363,,0.0239
80,State Thompson,4.807074460641408,3816.6210905940543,0.0314
80,Thompson-Whittle,13.196879808228385,1938.9835279796343,151.3227
80,Trust-Mixed TW,14.618412138495502,1098.458829393483,155.1648
100,Event-Driven TW,13.23440013998915,1131.1855351138577,198.3669
100,Oracle Whittle,16.472611405308708,,0.0247
100,State Thompson,4.293172759624511,3556.40690268247,0.0325
100,Thompson-Whittle,11.306315697651913,2023.183053683533,223.3046
100,Trust-Mixed TW,12.811185052489927,1263.6868476579104,228.546
