n_dc,budget,policy,oracle_avg_reward,avg_reward,oracle_pct,delta_vs_tw_oracle_pct
3,1,TW,7.405946341164965,6.61905005017984,89.37480431621188,0.0
3,1,ST,7.405946341164965,5.765251511341069,77.84625010440175,-11.528554211810121
3,1,TM-TW,7.405946341164965,6.633447884977729,89.56921343200388,0.19440911579199435
5,2,TW,29.601045835545186,28.96026316498279,97.83527016537727,0.0
5,2,ST,29.601045835545186,28.419172404184486,96.00732542381495,-1.8279447415623353
5,2,TM-TW,29.601045835545186,29.009846679732554,98.00277612116422,0.1675059557869495
8,3,TW,32.868531733264234,30.396633349886937,92.47943776911812,0.0
8,3,ST,32.868531733264234,28.704533614698654,87.33135342838739,-5.148084340730716
8,3,TM-TW,32.868531733264234,30.674430558123635,93.32461457984726,0.845176810729142
10,4,TW,42.805025303787644,40.3528991895781,94.27140599308893,0.0
10,4,ST,42.805025303787644,37.464958326403384,87.52467277034471,-6.74673322274424
10,4,TM-TW,42.805025303787644,41.267259434060236,96.40751089664386,2.136104903554921
